Symbol,Company,GICS Sector,GICS Sub-Industry 
ALAB,Astera Labs,Information Technology,Semiconductors 
T,AT&T,Communication Services,Integrated Telecommunication Services 
ATI,ATI Inc.,Materials,Steel 
TEAM,Atlassian,Information Technology,Application Software 
ATO,Atmos Energy,Utilities,Gas Utilities 
ADSK,Autodesk,Information Technology,Application Software 
ADP,Automatic Data Processing,Industrials,Human Resource & Employment Services 
AN,AutoNation,Consumer Discretionary,Automotive Retail 
AZO,AutoZone,Consumer Discretionary,Automotive Retail 
AVB,AvalonBay Communities,Real Estate,Residential REITs 
AGR,Avangrid,Utilities,
AVTR,Avantor,Health Care,
AVY,Avery Dennison,Materials,Paper & Plastic Packaging Products & Materials 
CAR,Avis Budget Group,Industrials,Passenger Ground Transportation 
AVT,Avnet,Information Technology,Technology Distributors 
AXTA,Axalta,Materials,
AXS,AXIS Capital,Financials,
AXON,Axon Enterprise,Industrials,Aerospace & Defense 
AZEK,Azek,Industrials,
AZTA,Azenta,Health Care,Life Sciences Tools & Services 
BKR,Baker Hughes,Energy,Oil & Gas Equipment & Services 
BALL,Ball Corporation,Materials,"Metal, Glass & Plastic Containers "
BAC,Bank of America,Financials,Diversified Banks 
OZK,Bank OZK,Financials,Regional Banks 
BBWI,"Bath & Body Works, Inc.",Consumer Discretionary,Other Specialty Retail 
BAX,Baxter International,Health Care,Health Care Equipment 
BDX,Becton Dickinson,Health Care,Health Care Equipment 
BRBR,BellRing Brands,Consumer Staples,Packaged Foods & Meats 
BSY,Bentley Systems,Information Technology,
BRK.B,Berkshire Hathaway,Financials,Multi-Sector Holdings 
BERY,Berry Global,Materials,
BBY,Best Buy,Consumer Discretionary,Computer & Electronics Retail 
BILL,Bill.com,Information Technology,
BIO,Bio-Rad Laboratories,Health Care,Life Sciences Tools & Services 
TECH,Bio-Techne,Health Care,Life Sciences Tools & Services 
BIIB,Biogen,Health Care,Biotechnology 
BMRN,BioMarin Pharmaceutical,Health Care,
BIRK,Birkenstock,Consumer Discretionary,Footwear 
BJ,BJ's Wholesale Club,Consumer Staples,Hypermarkets & Super Centers 
BLK,BlackRock,Financials,Asset Management & Custody Banks 
BX,Blackstone Inc.,Financials,Asset Management & Custody Banks 
HRB,H&R Block,Consumer Discretionary,Specialized Consumer Services 
SQ,"Block, Inc.",Financials,Transaction & Payment Processing Services 
OWL,Blue Owl Capital,Financials,
BK,BNY Mellon,Financials,Asset Management & Custody Banks 
BA,Boeing,Industrials,Aerospace & Defense 
BOKF,BOK Financial Corporation,Financials,
BKNG,Booking Holdings,Consumer Discretionary,
BAH,Booz Allen Hamilton,Industrials,
BWA,BorgWarner,Consumer Discretionary,Automotive Parts & Equipment 
SAM,Boston Beer Company,Consumer Staples,Brewers 
BSX,Boston Scientific,Health Care,Health Care Equipment 
BYD,Boyd Gaming,Consumer Discretionary,Casinos & Gaming 
BFAM,Bright Horizons,Consumer Discretionary,
BHF,Brighthouse Financial,Financials,Life & Health Insurance 
BMY,Bristol Myers Squibb,Health Care,Health Care Distributors 
BRX,Brixmor Property Group,Real Estate,Retail REITs 
AVGO,Broadcom,Information Technology,Semiconductors 
BR,Broadridge Financial Solutions,Industrials,Data Processing & Outsourced Services 
BEPC,Brookfield Renewable Partners,Utilities,
BRO,Brown & Brown,Financials,Insurance Brokers 
BF.A,Brown�Forman (Class A),Consumer Staples,Distillers & Vintners 
BF.B,Brown�Forman (Class B),Consumer Staples,Distillers & Vintners 
BRKR,Bruker,Health Care,Health Care Equipment 
BC,Brunswick Corporation,Consumer Discretionary,Leisure Products 
BLDR,Builders FirstSource,Industrials,Building Products 
BG,Bunge Global,Consumer Staples,Agricultural Products & Services 
BURL,Burlington,Consumer Discretionary,
BWXT,BWX Technologies,Industrials,
BXP,"BXP, Inc.",Real Estate,Office REITs 
CHRW,C.H. Robinson,Industrials,Air Freight & Logistics 
CACI,CACI,Industrials,Diversified Support Services 
CDNS,Cadence Design Systems,Information Technology,Application Software 
CZR,Caesars Entertainment,Consumer Discretionary,Casinos & Gaming 
CPT,Camden Property Trust,Real Estate,Residential REITs 
CPB,Campbell Soup Company,Consumer Staples,Packaged Foods & Meats 
COF,Capital One,Financials,Consumer Finance 
CPRI,Capri Holdings,Consumer Discretionary,"Apparel, Accessories & Luxury Goods "
CAH,Cardinal Health,Health Care,Health Care Distributors 
CSL,Carlisle Companies,Industrials,Industrial Conglomerates 
CG,Carlyle Group (The),Financials,
KMX,CarMax,Consumer Discretionary,Automotive Retail 
CCL,Carnival,Consumer Discretionary,"Hotels, Resorts & Cruise Lines "
CARR,Carrier Global,Industrials,Building Products 
CRI,Carter's,Consumer Discretionary,"Apparel, Accessories & Luxury Goods "
CVNA,Carvana,Consumer Discretionary,Automotive Retail 
CASY,Casey's,Consumer Staples,Food Retail 
CTLT,Catalent,Health Care,Pharmaceuticals 
CAT,Caterpillar Inc.,Industrials,Construction Machinery & Heavy Transportation Equipment 
CAVA,Cava Group,Consumer Discretionary,Restaurants 
CBOE,Cboe Global Markets,Financials,Financial Exchanges & Data 
CBRE,CBRE Group,Real Estate,Real Estate Services 
CCCS,CCC Intelligent Solutions,Information Technology,
CDW,CDW,Information Technology,Technology Distributors 
CE,Celanese,Materials,Specialty Chemicals 
CELH,Celsius Holdings,Consumer Staples,Soft Drinks & Non-alcoholic Beverages 
COR,Cencora,Health Care,Health Care Distributors 
CNC,Centene,Health Care,Managed Health Care 
CNP,Centerpoint Energy,Utilities,Multi-Utilities 
CERT,"Certara, Inc.",Health Care,
CF,CF Industries,Materials,Fertilizers & Agricultural Chemicals 
CRL,Charles River Laboratories,Health Care,Life Sciences Tools & Services 
SCHW,Charles Schwab Corporation,Financials,Investment Banking & Brokerage 
CHTR,Charter Communications,Communication Services,Cable & Satellite 
CHE,Chemed Corporation,Health Care,Health Care Services 
CC,Chemours,Materials,Diversified Chemicals 
LNG,Cheniere,Energy,
CVX,Chevron Corporation,Energy,Integrated Oil & Gas 
CMG,Chipotle Mexican Grill,Consumer Discretionary,Restaurants 
CHH,Choice Hotels,Consumer Discretionary,"Hotels, Resorts & Cruise Lines "
CHRD,Chord Energy,Energy,Oil & Gas Exploration & Production 
CB,Chubb Limited,Financials,Property & Casualty Insurance 
CHD,Church & Dwight,Consumer Staples,Household Products 
CHDN,Churchill Downs Incorporated,Consumer Discretionary,Casinos & Gaming 
CIEN,Ciena,Information Technology,Communications Equipment 
CI,Cigna,Health Care,Managed Health Care 
CINF,Cincinnati Financial,Financials,Property & Casualty Insurance 
CTAS,Cintas,Industrials,Diversified Support Services 
CRUS,Cirrus Logic,Information Technology,Semiconductors 
CSCO,Cisco,Information Technology,Communications Equipment 
C,Citigroup,Financials,Diversified Banks 
CFG,Citizens Financial Group,Financials,Regional Banks 
CIVI,Civitas Resources,Energy,Oil & Gas Exploration & Production 
CLVT,Clarivate,Industrials,
CLH,Clean Harbors,Industrials,Environmental & Facilities Services 
CWEN.A,Clearway Energy (Class A),Utilities,
CWEN,Clearway Energy (Class C),Utilities,
CLF,Cleveland-Cliffs,Materials,Steel 
CLX,Clorox,Consumer Staples,Household Products 
NET,Cloudflare,Information Technology,
CME,CME Group,Financials,Financial Exchanges & Data 
CMS,CMS Energy,Utilities,Multi-Utilities 
CNA,CNA Financial,Financials,
CNH,CNH Industrial,Industrials,
KO,Coca-Cola Company (The),Consumer Staples,Soft Drinks & Non-alcoholic Beverages 
COKE,Coca-Cola Consolidated,Consumer Staples,Soft Drinks & Non-alcoholic Beverages 
CGNX,Cognex Corporation,Information Technology,Electronic Equipment & Instruments 
CTSH,Cognizant,Information Technology,IT Consulting & Other Services 
COHR,Coherent Corp.,Information Technology,Electronic Components 
COIN,Coinbase,Financials,
CL,Colgate-Palmolive,Consumer Staples,Household Products 
COLB,Columbia Banking System,Financials,Regional Banks 
COLM,Columbia Sportswear,Consumer Discretionary,"Apparel, Accessories & Luxury Goods "
CMCSA,Comcast,Communication Services,Cable & Satellite 
CMA,Comerica,Financials,Diversified Banks 
FIX,Comfort Systems USA,Industrials,Construction & Engineering 
CBSH,Commerce Bancshares,Financials,Regional Banks 
CAG,Conagra Brands,Consumer Staples,Packaged Foods & Meats 
CNXC,Concentrix,Information Technology,Data Processing & Outsourced Services 
CFLT,"Confluent, Inc.",Information Technology,
COP,ConocoPhillips,Energy,Oil & Gas Exploration & Production 
ED,Consolidated Edison,Utilities,Electric Utilities 
STZ,Constellation Brands,Consumer Staples,Distillers & Vintners 
CEG,Constellation Energy,Utilities,Multi-Utilities 
COO,Cooper Companies (The),Health Care,Health Care Supplies 
CPRT,Copart,Industrials,Diversified Support Services 
CNM,Core & Main,Industrials,
GLW,Corning Inc.,Information Technology,Electronic Components 
CPAY,Corpay,Financials,Transaction & Payment Processing Services 
CTVA,Corteva,Materials,Fertilizers & Agricultural Chemicals 
CSGP,CoStar Group,Industrials,
COST,Costco,Consumer Staples,Consumer Staples Merchandise Retail 
CTRA,Coterra,Energy,Oil & Gas Exploration & Production 
COTY,Coty,Consumer Staples,Personal Care Products 
CPNG,Coupang,Consumer Discretionary,
CUZ,Cousins Properties,Real Estate,Office REITs 
CR,Crane Co.,Industrials,Industrial Machinery & Supplies & Components 
CXT,Crane NXT,Industrials,Industrial Machinery & Supplies & Components 
CACC,Credit Acceptance,Financials,
CRH,CRH plc,Materials,Construction Materials 
CROX,Crocs,Consumer Discretionary,Footwear 
CRWD,CrowdStrike,Information Technology,Application Software 
CCI,Crown Castle,Real Estate,Telecom Tower REITs 
CCK,Crown Holdings,Materials,
CSX,CSX Corporation,Industrials,Rail Transportation 
CUBE,CubeSmart,Real Estate,
CMI,Cummins,Industrials,Industrial Machinery & Supplies & Components 
CW,Curtiss-Wright,Industrials,Aerospace & Defense 
CVS,CVS Health,Health Care,Health Care Services 
DHI,D. R. Horton,Consumer Discretionary,Homebuilding 
DHR,Danaher Corporation,Health Care,Life Sciences Tools & Services 
DRI,Darden Restaurants,Consumer Discretionary,Restaurants 
DAR,Darling Ingredients,Consumer Staples,
DDOG,Datadog,Information Technology,Application Software 
DVA,DaVita,Health Care,Health Care Facilities 
DAY,Dayforce,Industrials,Human Resource & Employment Services 
DECK,Deckers Brands,Consumer Discretionary,Footwear 
DE,Deere & Company,Industrials,Agricultural & Farm Machinery 
DAL,Delta Air Lines,Industrials,Passenger Airlines 
DELL,Dell Technologies,Information Technology,"Technology Hardware, Storage & Peripherals "
XRAY,Dentsply Sirona,Health Care,Health Care Supplies 
DVN,Devon Energy,Energy,Oil & Gas Exploration & Production 
DXCM,Dexcom,Health Care,Health Care Equipment 
FANG,Diamondback Energy,Energy,Oil & Gas Exploration & Production 
DKS,Dick's Sporting Goods,Consumer Discretionary,Other Specialty Retail 
DLR,Digital Realty,Real Estate,Data Center REITs 
DDS,Dillard's,Consumer Discretionary,Broadline Retail 
DFS,Discover Financial,Financials,Consumer Finance 
DOCU,DocuSign,Information Technology,Application Software 
DLB,Dolby Laboratories,Information Technology,
DG,Dollar General,Consumer Staples,Consumer Staples Merchandise Retail 
DLTR,Dollar Tree,Consumer Staples,Consumer Staples Merchandise Retail 
D,Dominion Energy,Utilities,Electric Utilities 
DPZ,Domino's,Consumer Discretionary,Restaurants 
DCI,Donaldson Company,Industrials,Industrial Machinery & Supplies & Components 
DASH,DoorDash,Consumer Discretionary,
DV,DoubleVerify,Information Technology,
DOV,Dover Corporation,Industrials,Industrial Machinery & Supplies & Components 
DOW,Dow Inc.,Materials,Commodity Chemicals 
DOCS,Doximity,Health Care,
DKNG,DraftKings,Consumer Discretionary,
DBX,Dropbox,Information Technology,
DTM,DT Midstream,Energy,
DTE,DTE Energy,Utilities,Multi-Utilities 
DUK,Duke Energy,Utilities,Electric Utilities 
DNB,Dun & Bradstreet,Industrials,
DUOL,Duolingo,Consumer Discretionary,Education Services 
DD,DuPont,Materials,Specialty Chemicals 
BROS,Dutch Bros. Coffee,Consumer Discretionary,Restaurants 
DXC,DXC Technology,Information Technology,IT Consulting & Other Services 
DT,Dynatrace,Information Technology,
ELF,e.l.f. Beauty,Consumer Staples,Personal Care Products 
EXP,Eagle Materials,Materials,Construction Materials 
EWBC,East West Bancorp,Financials,Regional Banks 
EGP,EastGroup Properties,Real Estate,
EMN,Eastman Chemical Company,Materials,Diversified Chemicals 
ETN,Eaton Corporation,Industrials,Electrical Components & Equipment 
EBAY,eBay,Consumer Discretionary,
ECL,Ecolab,Materials,Specialty Chemicals 
EIX,Edison International,Utilities,Electric Utilities 
EW,Edwards Lifesciences,Health Care,Health Care Equipment 
ELAN,Elanco,Health Care,
ESTC,Elastic,Information Technology,
EA,Electronic Arts,Communication Services,Interactive Home Entertainment 
ESI,Element Solutions,Materials,
ELV,Elevance Health,Health Care,Managed Health Care 
EME,Emcor,Industrials,Construction & Engineering 
EMR,Emerson Electric,Industrials,Electrical Components & Equipment 
EHC,Encompass Health,Health Care,Health Care Facilities 
ENOV,Enovis,Health Care,Health Care Equipment 
ENPH,Enphase Energy,Information Technology,Electronic Components 
ENTG,Entegris,Information Technology,
ETR,Entergy,Utilities,Electric Utilities 
NVST,Envista,Health Care,Health Care Supplies 
EOG,EOG Resources,Energy,Oil & Gas Exploration & Production 
EPAM,EPAM Systems,Information Technology,IT Consulting & Other Services 
EPR,EPR Properties,Real Estate,Other Specialized REITs 
EQT,EQT Corporation,Energy,Oil & Gas Exploration & Production 
EFX,Equifax,Industrials,Research & Consulting Services 
EQIX,Equinix,Real Estate,Data Center REITs 
EQH,Equitable Holdings,Financials,
ELS,Equity Lifestyle Properties,Real Estate,
EQR,Equity Residential,Real Estate,Residential REITs 
ESAB,ESAB,Industrials,Industrial Machinery & Supplies & Components 
WTRG,Essential Utilities,Utilities,Water Utilities 
ESS,Essex Property Trust,Real Estate,Residential REITs 
EL,Est�e Lauder Companies (The),Consumer Staples,Personal Care Products 
ETSY,Etsy,Consumer Discretionary,
EEFT,Euronet Worldwide,Financials,Transaction & Payment Processing Services 
EVR,Evercore,Financials,Investment Banking & Brokerage 
EG,Everest Group,Financials,Reinsurance 
EVRG,Evergy,Utilities,Electric Utilities 
ES,Eversource Energy,Utilities,Multi-Utilities 
EXAS,Exact Sciences,Health Care,
EXEL,Exelixis,Health Care,Biotechnology 
EXC,Exelon,Utilities,Multi-Utilities 
EXE,Expand Energy,Energy,Oil & Gas Exploration & Production 
EXPE,Expedia Group,Consumer Discretionary,
EXPD,Expeditors International,Industrials,Air Freight & Logistics 
EXR,Extra Space Storage,Real Estate,Self-Storage REITs 
XOM,ExxonMobil,Energy,Integrated Oil & Gas 
FFIV,"F5, Inc.",Information Technology,Communications Equipment 
FDS,FactSet,Financials,Financial Exchanges & Data 
FICO,Fair Isaac,Information Technology,Application Software 
FAST,Fastenal,Industrials,Building Products 
FRT,Federal Realty Investment Trust,Real Estate,Retail REITs 
FDX,FedEx,Industrials,Air Freight & Logistics 
FERG,Ferguson plc,Industrials,Industrial Machinery & Supplies & Components 
FNF,Fidelity National Financial,Financials,
FIS,Fidelity National Information Services,Financials,Transaction & Payment Processing Services 
FITB,Fifth Third Bank,Financials,Regional Banks 
FAF,First American,Financials,Property & Casualty Insurance 
FCNCA,First Citizens BancShares,Financials,
FHB,First Hawaiian Bank,Financials,Regional Banks 
FHN,First Horizon Bank,Financials,Regional Banks 
FR,First Industrial Realty Trust,Real Estate,
FSLR,First Solar,Information Technology,Semiconductors 
FE,FirstEnergy,Utilities,Electric Utilities 
FI,Fiserv,Financials,Transaction & Payment Processing Services 
FIVE,Five Below,Consumer Discretionary,Other Specialty Retail 
FIVN,Five9,Information Technology,
FND,Floor & Decor,Consumer Discretionary,Home Improvement Retail 
FLO,Flowers Foods,Consumer Staples,Packaged Foods & Meats 
FLS,Flowserve,Industrials,Industrial Machinery & Supplies & Components 
FMC,FMC Corporation,Materials,Fertilizers & Agricultural Chemicals 
FNB,FNB Corporation,Financials,Regional Banks 
F,Ford Motor Company,Consumer Discretionary,Automobile Manufacturers 
FTNT,Fortinet,Information Technology,Systems Software 
FTV,Fortive,Industrials,Industrial Machinery & Supplies & Components 
FTRE,Fortrea,Health Care,
FBIN,Fortune Brands Innovations,Industrials,Building Products 
FOXA,Fox Corporation (Class A),Communication Services,Movies & Entertainment 
FOX,Fox Corporation (Class B),Communication Services,Movies & Entertainment 
BEN,Franklin Templeton Investments,Financials,Asset Management & Custody Banks 
FCX,Freeport-McMoRan,Materials,Copper 
FRPT,Freshpet,Consumer Staples,
FYBR,Frontier Communications,Communication Services,
CFR,Frost Bank,Financials,Regional Banks 
FCN,FTI Consulting,Industrials,Research & Consulting Services 
GME,GameStop,Consumer Discretionary,Computer & Electronics Retail 
GLPI,Gaming and Leisure Properties,Real Estate,
GAP,Gap Inc.,Consumer Discretionary,Apparel Retail 
GRMN,Garmin,Consumer Discretionary,Consumer Electronics 
IT,Gartner,Information Technology,IT Consulting & Other Services 
GTES,Gates Corporation,Industrials,
GE,GE Aerospace,Industrials,Aerospace & Defense 
GEHC,GE HealthCare,Health Care,Health Care Equipment 
GEV,GE Vernova,Industrials,Industrial Machinery & Supplies & Components 
GEN,Gen Digital,Information Technology,Application Software 
GNRC,Generac,Industrials,Electrical Components & Equipment 
GD,General Dynamics,Industrials,Aerospace & Defense 
GIS,General Mills,Consumer Staples,Packaged Foods & Meats 
GM,General Motors,Consumer Discretionary,Automobile Manufacturers 
G,Genpact,Information Technology,IT Consulting & Other Services 
GNTX,Gentex,Consumer Discretionary,Automotive Parts & Equipment 
GPC,Genuine Parts Company,Consumer Discretionary,Automotive Parts & Equipment 
GILD,Gilead Sciences,Health Care,Biotechnology 
GTLB,GitLab,Information Technology,
GPN,Global Payments,Financials,Transaction & Payment Processing Services 
GFS,GlobalFoundries,Information Technology,
GLOB,Globant,Information Technology,
GL,Globe Life,Financials,Life & Health Insurance 
GMED,Globus Medical,Health Care,Health Care Equipment 
GDDY,GoDaddy,Information Technology,
GS,Goldman Sachs,Financials,Investment Banking & Brokerage 
GGG,Graco,Industrials,Industrial Machinery & Supplies & Components 
GRAL,"Grail, Inc.",Health Care,Health Care Services 
LOPE,Grand Canyon Education,Consumer Discretionary,Education Services 
GPK,Graphic Packaging,Materials,
GO,Grocery Outlet,Consumer Staples,Food Retail 
GWRE,Guidewire Software,Information Technology,
GXO,GXO Logistics,Industrials,Air Freight & Logistics 
HAL,Halliburton,Energy,Oil & Gas Equipment & Services 
THG,Hanover Insurance,Financials,Property & Casualty Insurance 
HOG,Harley-Davidson,Consumer Discretionary,Motorcycle Manufacturers 
HIG,Hartford (The),Financials,Property & Casualty Insurance 
HAS,Hasbro,Consumer Discretionary,Leisure Products 
HCP,HashiCorp,Information Technology,
HAYW,Hayward Holdings,Industrials,
HCA,HCA Healthcare,Health Care,Health Care Facilities 
HR,Healthcare Realty Trust,Real Estate,
DOC,Healthpeak Properties,Real Estate,Health Care REITs 
HEI.A,HEICO (Class A),Industrials,Aerospace & Defense 
HEI,HEICO (Common),Industrials,Aerospace & Defense 
JKHY,Jack Henry & Associates,Financials,Transaction & Payment Processing Services 
HSY,Hershey Company (The),Consumer Staples,Packaged Foods & Meats 
HES,Hess Corporation,Energy,Integrated Oil & Gas 
HPE,Hewlett Packard Enterprise,Information Technology,"Technology Hardware, Storage & Peripherals "
HXL,Hexcel,Industrials,Aerospace & Defense 
DINO,HF Sinclair,Energy,Oil & Gas Refining & Marketing 
HIW,Highwoods Properties,Real Estate,
HLT,Hilton Worldwide,Consumer Discretionary,"Hotels, Resorts & Cruise Lines "
HOLX,Hologic,Health Care,Health Care Equipment 
HD,Home Depot (The),Consumer Discretionary,Home Improvement Retail 
HON,Honeywell,Industrials,Industrial Conglomerates 
HRL,Hormel Foods,Consumer Staples,Packaged Foods & Meats 
HST,Host Hotels & Resorts,Real Estate,Hotel & Resort REITs 
HLI,Houlihan Lokey,Financials,
HHH,Howard Hughes Holdings,Real Estate,
HWM,Howmet Aerospace,Industrials,Aerospace & Defense 
HPQ,HP Inc.,Information Technology,"Technology Hardware, Storage & Peripherals "
HUBB,Hubbell Incorporated,Industrials,Industrial Machinery & Supplies & Components 
HUBS,HubSpot,Information Technology,
HUM,Humana,Health Care,Managed Health Care 
HBAN,Huntington Bancshares,Financials,Regional Banks 
HII,Huntington Ingalls Industries,Industrials,Aerospace & Defense 
HUN,Huntsman Corporation,Materials,
H,Hyatt Hotels,Consumer Discretionary,
IAC,IAC Inc.,Communication Services,
IBM,IBM,Information Technology,IT Consulting & Other Services 
IDA,Idacorp,Utilities,Electric Utilities 
IEX,IDEX Corporation,Industrials,Industrial Machinery & Supplies & Components 
IDXX,Idexx Laboratories,Health Care,Health Care Equipment 
ITW,Illinois Tool Works,Industrials,Industrial Machinery & Supplies & Components 
ILMN,"Illumina, Inc.",Health Care,Life Sciences Tools & Services 
INCY,Incyte,Health Care,Biotechnology 
INFA,Informatica,Information Technology,
IR,Ingersoll Rand,Industrials,Industrial Machinery & Supplies & Components 
INGR,Ingredion,Consumer Staples,Agricultural Products & Services 
INSP,Inspire Medical Systems,Health Care,
PODD,Insulet,Health Care,
INTC,Intel,Information Technology,Semiconductors 
IBKR,Interactive Brokers,Financials,Investment Banking & Brokerage 
ICE,Intercontinental Exchange,Financials,Financial Exchanges & Data 
IFF,International Flavors & Fragrances,Materials,Specialty Chemicals 
IP,International Paper,Materials,Paper & Plastic Packaging Products & Materials 
IPG,Interpublic Group of Companies (The),Communication Services,Advertising 
ITCI,Intra-Cellular Therapies,Health Care,Pharmaceuticals 
INTU,Intuit,Information Technology,Application Software 
ISRG,Intuitive Surgical,Health Care,Health Care Equipment 
IVZ,Invesco,Financials,Asset Management & Custody Banks 
INVH,Invitation Homes,Real Estate,
IONS,Ionis Pharmaceuticals,Health Care,
IPGP,IPG Photonics,Information Technology,Electronic Manufacturing Services 
IQV,IQVIA,Health Care,Life Sciences Tools & Services 
IRDM,Iridium Communications,Communication Services,
IRM,Iron Mountain,Real Estate,Other Specialized REITs 
ITT,ITT Inc.,Industrials,Industrial Machinery & Supplies & Components 
JBL,Jabil,Information Technology,Electronic Manufacturing Services 
J,Jacobs Solutions,Industrials,Construction & Engineering 
JHG,Janus Henderson,Financials,Asset Management & Custody Banks 
JAZZ,Jazz Pharmaceuticals,Health Care,Pharmaceuticals 
JBHT,J. B. Hunt,Industrials,Cargo Ground Transportation 
JEF,Jefferies Financial Group,Financials,Multi-Sector Holdings 
JNJ,Johnson & Johnson,Health Care,Pharmaceuticals 
JCI,Johnson Controls,Industrials,Building Products 
JLL,Jones Lang LaSalle,Real Estate,Real Estate Services 
JPM,JPMorgan Chase,Financials,Diversified Banks 
JNPR,Juniper Networks,Information Technology,Communications Equipment 
KBR,"KBR, Inc.",Industrials,Diversified Support Services 
K,Kellanova,Consumer Staples,Packaged Foods & Meats 
KMPR,Kemper Corporation,Financials,Multi-line Insurance 
KVUE,Kenvue,Consumer Staples,Personal Care Products 
KDP,Keurig Dr Pepper,Consumer Staples,Soft Drinks & Non-alcoholic Beverages 
KEY,Keycorp,Financials,Regional Banks 
KEYS,Keysight,Information Technology,Electronic Equipment & Instruments 
KRC,Kilroy Realty,Real Estate,
